t1	t2	t3	t4	t5	m	n	p	iterations	evaluations	value		time								
final	results	rosenbrock	(new)	run:	5	10000	1.01	1000	440111	540374.1748	-1	6.7614232	1915.65979	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.01	1	21	16074842.42	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.01	1000	558980	540373.1444	-1	6.540438925	2365.059814	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.01	1	21	16074842.42	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.01	1000	693001	540373.1446	-1	6.44265948	3034.866296	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.01	1	21	16074842.42	101	3.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.001	1000	397236	518295.05	-1	7.271827231	1672.473145	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.001	1	21	14970676.23	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.001	1000	4485	518293.0169	-1	7.228481807	23.99332914	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.001	1	21	14970676.23	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.001	1000	684442	518292.7431	-1	7.211174522	2914.419763	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.001	1	21	14970676.23	101	3.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.0001	1000	172271	516137.2149	-1	7.318771236	732.8032466	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.0001	1	21	14864539.05	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.0001	1000	596634	516134.9362	-1	7.316163279	2504.153161	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.0001	1	21	14864539.05	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.0001	1000	579322	516134.9279	-1	7.311202067	2470.353112	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.0001	1	21	14864539.05	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.00001	1000	619327	515922.0641	-1	7.32378669	2614.436523	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.00001	1	21	14853967.01	101	3.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.00001	1000	713417	515919.6746	-1	7.323586578	2939.692956	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.00001	1	21	14853967.01	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.00001	1000	556772	515919.6345	-1	7.32326714	2290.929772	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.00001	1	21	14853967.01	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.000001	1000	627791	515900.4156	-1	7.324489188	2626.973145	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.000001	1	21	14852910.22	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.000001	1000	587015	515898.3098	-1	7.324475501	2540.613122	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.000001	1	21	14852910.22	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.000001	1000	650105	515898.1762	-1	7.324432298	2854.576501	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.000001	1	21	14852910.22	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.0000001	1000	3860	515896.7982	-1	7.326023495	18.30666456	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.0000001	1	21	14852804.54	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.0000001	1000	822902	515896.0002	-1	7.324557264	3563.716394	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.0000001	1	21	14852804.54	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.0000001	1000	747706	515895.9499	-1	7.32454424	3170.316247	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.0000001	1	21	14852804.54	101	3.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.00000001	1000	547405	515895.8542	-1	7.324554836	2315.363122	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.00000001	1	21	14852793.97	101	5.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.00000001	1000	772566	515895.7449	-1	7.324554556	3306.656335	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.00000001	1	21	14852793.97	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.00000001	1000	601657	515895.7349	-1	7.324553799	2659.526452	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.00000001	1	21	14852793.97	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1.000000001	1000	525968	515897.9967	-1	7.324560733	2278.223145	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1.000000001	1	21	14852792.92	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1.000000001	1000	849733	515895.7083	-1	7.324559445	3511.229577	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1.000000001	1	21	14852792.92	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1.000000001	1000	878596	515895.7141	-1	7.324555609	3608.342858	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1.000000001	1	21	14852792.92	101	4.67E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1	1000	1048107	515898.8342	-1	7.324555317	4319.046472	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1	1	21	14852792.81	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1	1000	562403	515895.7238	-1	7.324555364	2313.409668	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1	1	21	14852792.81	101	5.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1	1000	779886	515895.715	-1	7.324555314	3242.076257	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1	1	21	14852792.81	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	10000	1	1000	1047017	515898.834	-1	7.324555324	4315.689538	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	10000	1	1	21	14852792.8	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	10000	1	1000	660960	515895.6602	-1	7.324555376	2735.376465	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	10000	1	1	21	14852792.8	101	4.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	10000	1	1000	578996	515895.7199	-1	7.324555319	2535.646325	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	10000	1	1	21	14852792.8	101	4.33E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	100000	2	26	41	461251356.5	8.36E-03	8.97E-04	1.749999065	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	50000	
final	results	rosenbrock	(Nocedal)	run:	5	100000	2	26	73	461251356.5	8.38E-05	1.033333008	CONVERGENCE:	REL_REDUCTION_OF_F_<=_FACTR*EPSMCH						
final	results	rosenbrock	(new)	run:	10	100000	2	26	32	461251356.5	5.34E-03	3.64E-04	1.866666976	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	50000	
final	results	rosenbrock	(Nocedal)	run:	10	100000	2	26	80	461251356.5	7.84E-04	1.453332938	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	100000	2	27	33	461251356.5	3.81E-03	2.79E-05	2.436666928	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	50000	
final	results	rosenbrock	(Nocedal)	run:	20	100000	2	27	122	461251356.5	9.99E-04	2.119999923	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	100000	1.1	771	1791	8200434.622	9.46E-03	5.67E-03	88.6899935	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	49999	
final	results	rosenbrock	(Nocedal)	run:	5	100000	1.1	1	21	327836319.2	101	0.38999999	ABNORMAL_TERMINATION_IN_LNSRCH							
